specialty,expected_label,predicted_label,correct
Discharge Summary,Discharge Summary,Cardiology Report,False
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Cardiology Report,False
Discharge Summary,Discharge Summary,Radiology Report,False
Discharge Summary,Discharge Summary,Cardiology Report,False
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Radiology Report,False
Discharge Summary,Discharge Summary,Cardiology Report,False
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Radiology Report,False
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Radiology Report,False
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Radiology Report,False
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,General Medicine,False
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Cardiology Report,False
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,Discharge Summary,True
Discharge Summary,Discharge Summary,General Medical Document,False
Discharge Summary,Discharge Summary,Radiology Report,False
Discharge Summary,Discharge Summary,General Medicine,False
Discharge Summary,Discharge Summary,General Medical Document,False
Discharge Summary,Discharge Summary,Radiology Report,False
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,General Medical Document,False
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Cardiology Report,False
Radiology,Radiology Report,General Medical Document,False
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,General Medical Document,False
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,General Medical Document,False
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,General Medical Document,False
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,General Medicine,False
Radiology,Radiology Report,Radiology Report,True
Radiology,Radiology Report,Radiology Report,True
General Medicine,General Medicine,General Medicine,True
General Medicine,General Medicine,Radiology Report,False
General Medicine,General Medicine,Cardiology Report,False
